"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/jester_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/l85a1";"Assault rifle (Britain)";"Fusil d'assaut (Grande-Bretagne)";"Fucile d'assalto (Gran Bretagna)";"Sturmgewehr (Großbritannien)";"Fusil de asalto (Reino Unido)";"Штурмовая винтовка (Британия)";"Karabin szturmowy (Wielka Brytania)";"Útočná puška (Británie)";"Taarruz tüfeği (Britanya)";"英\t国\t突\t击\t步\t枪";"アサルトライフル (イギリス)";"Espingarda de Assalto (Inglaterra)";"Штурмова гвинтівка (Британія)";"Assault rifle (Britain)";"Brit gépkarabély";"돌격 소총 (영국)";"Штурмовая винтовка (Британия)";"Pușcă de asalt (Britania)";"英\t國\t突\t擊\t步\t槍\t（L85A1）";"突\t击\t步\t枪 (E)";"Súng trường tấn công (Anh)";;
"attachables/l85a1/desc";"""Assault Rifle"" collection";"Collection ""Fusils d'Assaut""";"Collezione ""Fucili d'Assalto""";"""Sturmgewehr"" Sammlung";"Colección ""Fusil de Asalto""";"Коллекция ""Штурмовые винтовки""";"Kolekcja „Karabiny szturmowe”";"kolekce ""Útočné pušky""";"""Taarruz Tüfeği"" koleksiyonu";"“突\t击\t步\t枪”\t套\t装";"「アサルトライフル」\tコレクション";"Coleção: ""Espingarda de Assalto""";"Колекція ""Штурмові гвинтівки""";"""Assault Rifle"" collection";"Gépkarabélyok gyűjtemény része.";"""돌격소총"" 컬렉션";"Коллекция ""Штурмовые винтовки""";"""Assault Rifle"" collection";"“突\t擊\t步\t槍”\t套\t裝";"“突\t击\t步\t枪”\t系\t列";"Bộ sưu tập ""Súng trường tấn công""";;
"attachables/leprechaun_hat";"Leprechaun's Hat";"Chapeau de Leprechaun";"Cappello da Lepricano";"Koboldhut";"Sombrero del Leprechaun";"Шляпа лепрекона";"Kapelusz karła";"Leprikóní čepice";"Cüce'nin Şapkası";"矮\t精\t灵\t帽";"レプラコーンの\t帽子";"Chapéu de Leprechaun";"Капелюх лепрекона";"Leprechaun's Hat";"Manókalap";"난쟁이의 모자";"Капялюш лепрыкона";"Pălăria lui Leprecaun";"矮\t精\t靈\t帽";"矮\t精\t灵\t帽";"Nón yêu tinh";;
"attachables/leprechaun_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/m4_carbine";"Assault rifle (USA)";"Fusil d'assaut (USA)";"Fucile d'assalto (USA)";"Sturmgewehr (USA)";"Fusil de asalto (EE.UU.)";"Штурмовая винтовка (США)";"Karabin szturmowy (USA)";"Útočná puška (USA)";"Taarruz tüfeği (ABD)";"美\t国\t突\t击\t步\t枪";"アサルトライフル (アメリカ)";"Espingarda de Assalto (EUA)";"Штурмова гвинтівка (США)";"Assault rifle (USA)";"Amerikai gépkarabély";"돌격 소총 (미국)";"Штурмовая винтовка (США)";"Pușcă de asalt (SUA)";"美\t國\t突\t擊\t步\t槍\t（M4）";"突\t击\t步\t枪 (A)";"Súng trường tấn công (USA)";;
"attachables/m4_carbine/desc";"""Assault Rifle"" collection";"Collection ""Fusils d'Assaut""";"Collezione ""Fucili d'Assalto""";"""Sturmgewehr"" Sammlung";"Colección ""Fusil de Asalto""";"Коллекция ""Штурмовые винтовки""";"Kolekcja „Karabiny szturmowe”";"kolekce ""Útočné pušky""";"""Taarruz Tüfeği"" koleksiyonu";"“突\t击\t步\t枪”\t套\t装";"「アサルトライフル」\tコレクション";"Coleção ""Fuzil de Assalto""";"Колекція ""Штурмові гвинтівки""";"""Assault Rifle"" collection";"Gépkarabélyok gyűjtemény része.";"""돌격소총"" 컬렉션";"Коллекция ""Штурмовые винтовки""";"""Assault Rifle"" collection";"“突\t擊\t步\t槍”\t套\t裝";"“突\t击\t步\t枪”\t系\t列";"Bộ sưu tập ""Súng trường tấn công""";;
"attachables/mad_hatter_hat";"Hatter";"Chapelier";"Cappellaio";"Hutmacher";"Sombrerero";"Безумный Шляпник";"Kapelusznik";"Kloboučník";"Hatter";"疯\t帽\t客\t之\t帽";"帽子屋";"Chapeleiro";"Капелюшник";"Hatter";"Kalapos";"모자장수";"Безумный Шляпник";"Hatter";"瘋\t帽\t客\t之\t帽";"“带\t帽\t侠”";"Nón thợ mũ";;
"attachables/mad_hatter_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/magic_hat";"The Magic Hat";"Le Chapeau Magique";"Cappello Magico";"Der Zauberhut";"El Sombrero Mágico";"Волшебная шляпа";"Magiczny kapelusz";"Kouzelný klobouk";"Büyülü Şapka";"巫\t师\t帽";"魔法の\t帽子";"O Chapéu Mágico";"Чарівний капелюх";"The Magic Hat";"Mágikus kalap";"마법 모자";"Чарадзейны капялюш";"Pălărie magică";"巫\t師\t帽";"巫\t师\t帽";"Nón ảo thuật ";;
"attachables/magic_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/pirate_hat";"Pirate's Hat";"Chapeau de Pirate";"Cappello da Pirata";"Piratenhut";"Sombrero de pirata";"Шляпа пирата";"Kapelusz pirata";"Pirátský klobouk";"Korsan'ın Şapkası";"海\t盗\t三\t角\t帽";"海賊の\t帽子";"Chapéu de Pirata";"Капелюх пірата";"Pirate's Hat";"Kalózkalap";"해적 모자";"Капялюш пірата";"Pălărie pirat";"海\t盜\t三\t角\t帽";"海\t盗\t三\t角\t帽";"Nón hải tặc";;
"attachables/pirate_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/rabbit_hat";"Rabbit's Ears";"Oreilles de lapin";"Orecchie di Coniglio";"Hasenohren";"Orejas de conejo";"Кроличьи уши";"Uszy królika";"Králičí uši";"Tavşan'ın Kulakları";"兔\t耳\t帽";"ウサギの\t耳";"Orelhas de coelho";"Кролячі вуха";"Rabbit's Ears";"Nyuszifüles sapka";"토끼 귀";"Вушы труса";"Urechi de iepure";"兔\t耳\t帽";"兔\t耳\t帽";"Tai thỏ";;
"attachables/rabbit_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/scs_70_90";"Assault rifle (Italy)";"Fusil d'assaut (Italie)";"Fucile d'assalto (Italia)";"Sturmgewehr (Italien)";"Fusil de asalto (Italia)";"Автомат складной (Италия)";"Karabin szturmowy (Włochy)";"Útočná puška (Itálie)";"Taarruz tüfeği (İtalya)";"意\t大\t利\t突\t击\t步\t枪";"アサルトライフル (イタリア)";"Espingarda de Assalto (Itália)";"Автомат складний (Італія)";"Assault rifle (Italy)";"Olasz gépkarabély";"돌격 소총 (이탈리아)";"Автомат складной (Италия)";"Pușcă de asalt (Italia)";"意\t大\t利\t突\t擊\t步\t槍\t（SCP70/90）";"突\t击\t步\t枪 (I)";"Súng trường tấn công (Ý)";;
"attachables/scs_70_90/desc";"""Assault Rifle"" collection";"Collection ""Fusils d'Assaut""";"Collezione ""Fucili d'Assalto""";"""Sturmgewehr"" Sammlung";"Colección ""Fusil de Asalto""";"Коллекция ""Штурмовые винтовки""";"Kolekcja „Karabiny szturmowe”";"kolekce ""Útočné pušky""";"""Taarruz Tüfeği"" koleksiyonu";"“突\t击\t步\t枪”\t套\t装";"「アサルトライフル」\tコレクション";"Coleção ""Fuzil de Assalto""";"Колекція ""Штурмові гвинтівки""";"""Assault Rifle"" collection";"Gépkarabélyok gyűjtemény része.";"""돌격소총"" 컬렉션";"Коллекция ""Штурмовые винтовки""";"""Assault Rifle"" collection";"“突\t擊\t步\t槍”\t套\t裝";"“突\t击\t步\t枪”\t系\t列";"Bộ sưu tập ""Súng trường tấn công""";;
"attachables/sombrero_hat";"Sombrero";"Sombrero";"Sombrero";"Sombrero";"Sombrero";"Сомбреро";"Sombrero";"Sombrero";"Sombrero";"墨\t西\t哥\t宽\t边\t帽";"ソンブレロ";"Sombrero";"Сомбреро";"Sombrero";"Sombrero";"솜브레로";"Самбрэра";"Sombrero";"墨\t西\t哥\t寬\t邊\t帽";"墨\t西\t哥\t宽\t边\t帽";"Sombrero";;
"attachables/sombrero_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/type_89f";"Assault rifle (Japan)";"Fusil d'assaut (Japon)";"Fucile d'assalto (Giappone)";"Sturmgewehr (Japan)";"Fusil de asalto (Japón)";"Автомат складной (Япония)";"Karabin szturmowy (Japonia)";"Útočná puška (Japonsko)";"Taarruz tüfeği (Japonya)";"日\t本\t突\t击\t步\t枪";"アサルトライフル (日本)";"Espingarda de Assalto (Japão)";"Автомат складний (Японія)";"Assault rifle (Japan)";"Japán gépkarabély";"돌격 소총 (일본)";"Автомат складной (Япония)";"Pușcă de asalt (Japonia)";"日\t本\t突\t擊\t步\t槍\t（89 式）";"突\t击\t步\t枪 (R)";"Súng trường tấn công (Nhật Bản)";;
"attachables/type_89f/desc";"""Assault Rifle"" collection";"Collection ""Fusils d'Assaut""";"Collezione ""Fucili d'Assalto""";"""Sturmgewehr"" Sammlung";"Colección ""Fusil de Asalto""";"Коллекция ""Штурмовые винтовки""";"Kolekcja „Karabiny szturmowe”";"kolekce ""Útočné pušky""";"""Taarruz Tüfeği"" koleksiyonu";"“突\t击\t步\t枪”\t套\t装";"「アサルトライフル」\tコレクション";"Coleção ""Fuzil de Assalto""";"Колекція ""Штурмові гвинтівки""";"""Assault Rifle"" collection";"Gépkarabélyok gyűjtemény része.";"""돌격소총"" 컬렉션";"Коллекция ""Штурмовые винтовки""";"""Assault Rifle"" collection";"“突\t擊\t步\t槍”\t套\t裝";"“突\t击\t步\t枪”\t系\t列";"Bộ sưu tập ""Súng trường tấn công""";;
"attachables/uk_early_helmet";"Steel Helmet (UK)";"Casque en métal (UK), pcs";"Elmetto (GB)";"Stahlhelm (UK), 2 Stk";"Casco de Acero (GB)";"Пехотная каска (Британия)";"Hełm stalowy (Wielka Brytania)";"Britská ocelová přilba";"Çelik Miğfer (BK)";"英\t国\t钢\t制\t头\t盔";"イギリス\t軍の\tスチールヘルメット (2個)";"Capacete de aço (RU)";"Піхотна каска (Британія)";"Čelični šlem (UK), 2 kom";"Brit acélsisak";"영국군 철모";"Пяхотная каска (Вялікабрытанія)";"Cască de oțel (UK)";"英\t國\t鋼\t製\t頭\t盔";"英\t式\t钢\t制\t头\t盔\t（2 份）";"Nón thép (UK)";;
"attachables/uk_early_helmet/desc";"""Helmets"" collection";"Collection ""Casques""";"Collezione ""Elmetti""";"""Helme"" Sammlung";"Colección ""Cascos""";"Коллекция ""Шлемы""";"Kolekcja „Hełmy”";"kolekce ""Helmy""";"""Miğfer"" koleksiyonu";"“头\t盔”\t套\t装";"「ヘルメット」\tコレクション";"Coleção de ""Capacetes"" ";"Колекція ""Шоломи""";"""Helmets"" collection";"Sisakok gyűjtemény része.";"""헬멧"" 컬렉션";"Коллекция ""Шлемы""";"""Helmets"" collection";"“帽\t子”\t套\t裝";"“头\t盔”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/uncle_sams_hat";"Uncle Sam's Hat";"Chapeau de l'Oncle Sam";"Cappello di Zio Sam";"Uncle Sam's Hut";"Sombrero del Tío Sam";"Шляпа дядюшки Сэма";"Kapelusz wujka Sama";"Klobouk strýčka Sama";"Sam Amca'nın Şapkası";"山\t姆\t大\t叔\t高\t礼\t帽";"アンクルサムの\t帽子";"Chapéu do Tio Sam";"Капелюх дядечка Сема";"Uncle Sam's Hat";"Uncle Sam kalapja";"엉클 샘의 모자";"Капялюш дзядзькі Сэма";"Pălăria unchiului Sam";"山\t姆\t大\t叔\t高\t禮\t帽";"山\t姆\t大\t叔\t高\t礼\t帽";"Nón bác Sam";;
"attachables/uncle_sams_hat/desc";"""Hats"" collection";"Collection ""Chapeaux""";"Collezione ""Cappelli""";"""Hüte"" Sammlung";"Colección ""Sombreros""";"Коллекция ""Шляпы""";"Kolekcja „Nakrycia głowy”";"kolekce ""Klobouky""";"""Şapka"" koleksiyonu";"“帽\t子”\t套\t装";"「帽子」\tコレクション";"Coleção de ""Chapéus""";"Колекція ""Капелюхи""";"""Hats"" collection";"Fejfedők gyűjtemény része.";"""모자"" 컬렉션";"Коллекция ""Шляпы""";"""Hats"" collection";"“帽\t子”\t套\t裝";"“帽\t子”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/ussr_tank_helmet";"Steel Helmet (USSR)";"Casque (URSS), 2 pcs";"Elmetto (URSS)";"Stahlhelm (UdSSR), 2 Stk";"Casco de Acero (URSS)";"Пехотная каска (СССР)";"Hełm stalowy (ZSRR)";"Sovětská ocelová přílba";"Çelik Miğfer (SSCB)";"苏\t联\t钢\t制\t头\t盔";"ソ\t連軍の\tスチールヘルメット (2個)";"Capacete de aço (URSS)";"Піхотна каска (СРСР)";"Čelični šlem (Sovjetski Savez), 2 kom";"Szovjet acélsisak";"소련군 철모";"Пяхотная каска (СССР)";"Cască de oțel (URSS)";"蘇\t聯\t鋼\t製\t頭\t盔";"苏\t式\t钢\t制\t头\t盔\t（2 份）";"Nón thép (USSR)";;
"attachables/ussr_tank_helmet/desc";"""Helmets"" collection";"Collection ""Casques""";"Collezione ""Elmetti""";"""Helme"" Sammlung";"Colección ""Cascos""";"Коллекция ""Шлемы""";"Kolekcja „Hełmy”";"kolekce ""Helmy""";"""Miğfer"" koleksiyonu";"“头\t盔”\t套\t装";"「ヘルメット」\tコレクション";"Coleção de ""Capacetes"" ";"Колекція ""Шоломи""";"""Helmets"" collection";"Sisakok gyűjtemény része.";"""헬멧"" 컬렉션";"Коллекция ""Шлемы""";"""Helmets"" collection";"“帽\t子”\t套\t裝";"“头\t盔”\t系\t列";"Bộ sưu tập ""Nón""";;
"attachables/road_sign_tanks";"""Beware of tanks""";"""Attention aux chars""";"""Attenti ai Carri""";"""Vorsicht vor Panzern""";"""Peligro de Tanques""";"""Осторожно, танки!""";"„Uwaga! Czołg”";"""Pozor na tanky""";"""Tanklara dikkat""";"“注\t意，\t坦\t克！”";"「戦車に\t気をつけろ」";"""Cuidado com os tanques""";"""Обережно, танки!""";"""Beware of tanks""";"„Óvakodj a harckocsiktól”";"""전차 주의""";"""Осторожно, танки!""";"""Beware of tanks""";"“注\t意，\t坦\t克！”";"""\t小\t心\t坦\t克\t""";"""Coi chừng xe tăng""";;
"attachables/battlepass_box";"Battlepass Box";"Coffre BattlePass";"Scatola Battle Pass";"Battlepass-Kiste";"Caja del Pase de Batalla";"Ящик с наклейкой ""Боевого пропуска""";"Skrzynka Przepustki bojowej";"Bedna Bitevního pasu";"Battlepass Kutusu";"战\t斗\t通\t行\t证\t物\t资\t箱";"バトルパスボックス";"Caixa Battle Pass";"Скриня бойової перепустки";"Battlepass Box";"Battle Pass doboz";"배틀패스 박스";"Ящик с наклейкой ""Боевого пропуска""";"Battlepass Box";"戰\t鬥\t通\t行\t證\t物\t資\t箱";"Battlepass Box";"Hộp battlepass";;
"attachables/anvil";"Anvil";"Enclume";"Incudine";"Amboss";"Yunque";"Наковальня";"Kowadło";"Kovadlina";"Örs";"铁\t砧";"鉄床";"Bigorna";"Ковадло";"Anvil";"Üllő";"모루";"Наковальня";"Anvil";"鐵\t砧";"Anvil";"Cái đe";;
"attachables/ak_103";"Assault rifle (Russia)";"Fusil d'assaut (Russie)";"Fucile d'assalto (Russia)";"Sturmgewehr (Russland)";"Fusil de asalto (Rusia)";"Штурмовая винтовка (РФ)";"Karabin szturmowy (Rosja)";"Útočná puška (Rusko)";"Taarruz tüfeği (Rusya)";"俄\t罗\t斯\t突\t击\t步\t枪";"アサルトライフル (ロシア)";"Espingarda de Assalto (Rússia)";"Штурмова гвинтівка (РФ)";"Assault rifle (Russia)";"Orosz gépkarabély";"돌격 소총 (러시아)";"Штурмовая винтовка (РФ)";"Assault rifle (Russia)";"俄\t羅\t斯\t突\t擊\t步\t槍\t（AK-103）";"Assault rifle (Russia)";"Súng trường tấn công (Nga)";;
"attachables/cat_decor";"Baby tiger";"Bébé tigre";"Cucciolo di Tigre";"Babytiger";"Tigre bebé";"Тигрёнок";"Tygrysek";"Tygřík";"Bebek kaplan";"小\t脑\t唬";"トラの\t子";"Bebê tigre";"Тигреня";"Baby tiger";"Bébitigris";"아기 호랑이";"Тигрёнок";"Baby tiger";"小\t老\t虎";"Baby tiger";"Hổ con";;
"attachables/akms_ag";"Assault rifle with grenade launcher (USSR)";"AKMS (GP-25)";"Fucile d'assalto con lanciagranate (URSS)";"Sturmgewehr mit Granatwerfer (UdSSR)";"Fusil de asalto con lanzagranadas (URSS)";"Автомат с подствольным гранатометом (СССР)";"Karabin szturmowy z granatnikiem (ZSRR)";"Útočná puška s granátometem (SSSR)";"Bombaatarlı Taarruz Tüfeği (SSCB)";"苏\t联\t突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器";"グレネードランチャー\t付き\tアサルトライフル (ソ\t連)";"Fuzil de assalto com lançador de granadas (URSS)";"Автомат з підствольним гранатометом (СРСР)";"Assault rifle with grenade launcher (USSR)";"Szovjet gépkarabély gránátvetővel";"유탄 발사기를 장착한 돌격소총 (소련)";"Автомат с подствольным гранатометом (СССР)";"Assault rifle with grenade launcher (USSR)";"蘇\t聯\t突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器\t（AKMS）";"Assault rifle with grenade launcher (USSR)";"Súng trường tấn công với ống phóng lựu (USSR)";;
"attachables/akms_ag/desc";"""Assault rifles with grenade launcher"" collection";"Collection ""Fusils d'assaut avec lance-grenades""";"""Fucili d'assalto con lancia granate"" collezione";"""Sturmgewehr mit Granatwerfer"" Sammlung";"Colección ""Fusiles de asalto con lanzagranadas""";"Коллекция ""Автоматы с подствольным гранатометом""";"Kolekcja „Karabiny szturmowe z granatnikiem”";"Kolekce ""Útočné pušky s granátometem""";"""Bombaatarlı taarruz tüfekleri"" koleksiyonu";"“突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器”\t套\t装";"「グレネードランチャー\t付き\tアサルトライフル」\tコレクション";"Coleção ""Fuzis de assalto com lançador de granadas""";"Колекція ""Автомати з підствольним гранатометом""";"""Assault rifles with grenade launcher"" collection";"Gépkarabélyok gránátvetővel gyűjtemény része.";"""유탄 발사기를 장착한 돌격소총"" 컬렉션";"Коллекция ""Автоматы с подствольным гранатометом""";"""Assault rifles with grenade launcher"" collection";"“突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器”\t套\t裝";"""Assault rifles with grenade launcher"" collection";"Bộ sưu tập ""Súng trường tấn công với ống phóng lựu""";;
"attachables/cn_qbz_95_ag";"Assault rifle with grenade launcher (China)";"QBZ-95 (QLG-91B)";"Fucile d'assalto con lanciagranate (Cina)";"Sturmgewehr mit Granatwerfer (China)";"Fusil de asalto con lanzagranadas (China)";"Автомат с подствольным гранатометом (Китай)";"Karabin szturmowy z granatnikiem (Chiny)";"Útočná puška s granátometem (Čína)";"Bombaatarlı Taarruz Tüfeği (Çin)";"中\t国\t突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器";"グレネードランチャー\t付き\tアサルトライフル (中国)";"Fuzil de assalto com lançador de granadas (China)";"Автомат з підствольним гранатометом (Китай)";"Assault rifle with grenade launcher (China)";"Kínai gépkarabély gránátvetővel";"유탄 발사기를 장착한 돌격소총 (중국)";"Автомат с подствольным гранатометом (Китай)";"Assault rifle with grenade launcher (China)";"中\t國\t突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器\t（QBZ95）";"Assault rifle with grenade launcher (China)";"Súng trường tấn công với ống phóng lựu (Trung Quốc)";;
"attachables/cn_qbz_95_ag/desc";"""Assault rifles with grenade launcher"" collection";"Collection ""Fusils d'assaut avec lance-grenades""";"""Fucili d'assalto con lancia granate"" collezione";"""Sturmgewehr mit Granatwerfer"" Sammlung";"Colección ""Fusiles de asalto con lanzagranadas""";"Коллекция ""Автоматы с подствольным гранатометом""";"Kolekcja „Karabiny szturmowe z granatnikiem”";"Kolekce ""Útočné pušky s granátometem""";"""Bombaatarlı taarruz tüfekleri"" koleksiyonu";"“突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器”\t套\t装";"「グレネードランチャー\t付き\tアサルトライフル」\tコレクション";"Coleção ""Fuzis de assalto com lançador de granadas""";"Колекція ""Автомати з підствольним гранатометом""";"""Assault rifles with grenade launcher"" collection";"Gépkarabélyok gránátvetővel gyűjtemény része.";"""유탄 발사기를 장착한 돌격소총"" 컬렉션";"Коллекция ""Автоматы с подствольным гранатометом""";"""Assault rifles with grenade launcher"" collection";"“突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器”\t套\t裝";"""Assault rifles with grenade launcher"" collection";"Bộ sưu tập ""Súng trường tấn công với ống phóng lựu""";;
"attachables/g36k_ag";"Assault rifle with grenade launcher (Germany)";"G36K (AG36)";"Fucile d'assalto con lanciagranate (Germania)";"Sturmgewehr mit Granatwerfer (Deutschland)";"Fusil de asalto con lanzagranadas (Alemania)";"Автомат с подствольным гранатометом (Германия)";"Karabin szturmowy z granatnikiem (Niemcy)";"Útočná puška s granátometem (Německo)";"Bombaatarlı Taarruz Tüfeği (Almanya)";"德\t国\t突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器";"グレネードランチャー\t付き\tアサルトライフル (ドイツ)";"Fuzil de assalto com lançador de granadas (Alemanha)";"Автомат з підствольним гранатометом (Німеччина)";"Assault rifle with grenade launcher (Germany)";"Német gépkarabély gránátvetővel";"유탄 발사기를 장착한 돌격소총 (독일)";"Автомат с подствольным гранатометом (Германия)";"Assault rifle with grenade launcher (Germany)";"德\t國\t突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器\t（G36K）";"Assault rifle with grenade launcher (Germany)";"Súng trường tấn công với ống phóng lựu (Đức)";;
"attachables/g36k_ag/desc";"""Assault rifles with grenade launcher"" collection";"Collection ""Fusils d'assaut avec lance-grenades""";"""Fucili d'assalto con lancia granate"" collezione";"""Sturmgewehr mit Granatwerfer"" Sammlung";"Colección ""Fusiles de asalto con lanzagranadas""";"Коллекция ""Автоматы с подствольным гранатометом""";"""Karabin szturmowy z granatnikiem (Wielka Brytania";"Kolekce ""Útočné pušky s granátometem""";"""Bombaatarlı taarruz tüfekleri"" koleksiyonu";"“突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器”\t套\t装";"「グレネードランチャー\t付き\tアサルトライフル」\tコレクション";"Coleção ""Fuzis de assalto com lançador de granadas""";"Колекція ""Автомати з підствольним гранатометом""";"""Assault rifles with grenade launcher"" collection";"Gépkarabélyok gránátvetővel gyűjtemény része.";"""유탄 발사기를 장착한 돌격소총"" 컬렉션";"Коллекция ""Автоматы с подствольным гранатометом""";"""Assault rifles with grenade launcher"" collection";"“突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器”\t套\t裝";"""Assault rifles with grenade launcher"" collection";"Bộ sưu tập ""Súng trường tấn công với ống phóng lựu""";;
